pulse_rate,rr_interval,pulse_amplitude,pulse_variability,dosha_label
80.31,0.68,2.04,0.66,Pitta
78.66,0.75,0.8,1.1,Vata
69.32,0.98,1.62,0.51,Kapha
100.72,0.61,1.55,0.78,Pitta
81.19,0.82,1.84,0.61,Kapha
64.06,0.89,1.09,1.25,Vata
71.72,0.91,1.08,0.94,Vata
90.38,0.74,1.53,0.52,Pitta
91.62,0.56,1.79,0.84,Pitta
97.64,0.73,1.85,0.59,Pitta
68.3,0.96,1.51,1.32,Kapha
64.32,0.9,2.07,0.91,Kapha
92.17,0.61,1.82,0.54,Pitta
56.67,1.1,1.46,0.74,Kapha
65.61,1.04,1.75,0.82,Vata
74.58,0.84,1.89,0.7,Kapha
79.05,0.67,0.72,0.22,Pitta
78.12,0.77,1.19,1.37,Vata
62.02,0.9,1.21,1.08,Vata
76.71,0.77,1.29,1.31,Vata
73.85,0.71,1.52,0.95,Vata
60.76,0.98,1.41,0.8,Vata
79.36,0.77,1.61,1.25,Vata
83.74,0.68,1.63,0.91,Vata
76.71,0.88,1.53,0.77,Kapha
72.84,0.78,1.19,1.35,Vata
73.55,0.93,1.69,0.61,Kapha
77.89,0.78,2.03,0.91,Kapha
71.98,0.7,2.29,0.63,Kapha
70.6,0.79,1.08,1.38,Vata
60.56,1.08,2.3,0.74,Kapha
76.85,0.77,0.89,1.01,Vata
91.31,0.72,1.87,0.71,Pitta
84.13,0.7,1.16,1.6,Vata
73.78,0.76,1.98,0.8,Kapha
87.09,0.74,1.64,0.47,Pitta
68.34,0.9,2.12,1.12,Kapha
90.27,0.58,1.6,0.67,Pitta
70.8,0.75,1.23,1.58,Vata
69.21,0.73,2.09,1.05,Kapha
75.32,0.77,1.92,1.17,Vata
68.07,0.83,2.42,0.37,Kapha
89.51,0.61,1.68,0.57,Pitta
57.35,1.03,1.8,0.74,Kapha
91.34,0.57,1.07,0.59,Pitta
89.45,0.66,1.55,0.89,Pitta
62.34,0.91,2.27,0.66,Kapha
58.42,1.0,1.79,0.42,Kapha
76.4,0.72,1.55,1.06,Vata
76.48,0.66,1.25,1.26,Kapha
64.04,0.96,1.37,1.41,Vata
76.52,0.7,1.33,1.07,Vata
103.86,0.69,1.33,0.49,Pitta
80.1,0.68,1.52,0.76,Pitta
64.03,0.93,1.11,1.3,Vata
62.01,0.94,1.53,0.59,Kapha
82.64,0.67,1.38,0.58,Pitta
92.11,0.66,2.01,0.25,Pitta
55.84,1.03,1.48,0.76,Vata
69.16,0.77,0.78,1.47,Vata
61.68,0.85,2.1,0.99,Kapha
56.16,1.04,2.13,1.13,Kapha
89.69,0.82,1.2,1.31,Pitta
65.43,0.92,2.0,1.05,Kapha
94.93,0.69,1.24,0.6,Pitta
83.93,0.71,1.58,0.43,Pitta
63.99,1.0,1.73,0.62,Kapha
74.13,0.73,1.87,1.24,Vata
101.5,0.46,1.58,0.68,Pitta
99.72,0.55,1.49,0.88,Pitta
80.13,0.79,1.75,0.87,Kapha
68.15,0.87,1.54,1.14,Kapha
72.24,0.77,2.22,0.69,Kapha
62.55,0.81,1.83,0.27,Kapha
94.81,0.58,1.83,0.32,Pitta
75.67,0.86,1.37,1.24,Vata
76.01,0.97,0.88,0.58,Vata
99.49,0.58,1.66,0.24,Pitta
82.0,0.58,1.1,1.12,Vata
87.71,0.78,1.52,1.09,Vata
85.87,0.74,1.73,0.48,Pitta
76.56,0.77,1.47,1.02,Vata
77.58,0.7,0.98,1.2,Vata
90.56,0.59,1.71,0.22,Pitta
57.79,0.99,2.03,1.06,Kapha
81.54,0.62,1.44,0.7,Pitta
75.46,0.81,2.0,0.58,Kapha
101.81,0.52,1.62,0.69,Pitta
70.99,0.82,1.34,0.89,Vata
55.0,1.2,1.95,0.86,Kapha
80.37,0.82,2.26,0.51,Pitta
66.45,0.81,1.98,0.52,Kapha
80.01,0.74,1.37,1.12,Vata
72.8,0.87,1.5,1.33,Vata
72.38,0.82,1.85,0.97,Kapha
67.75,0.88,1.72,0.89,Kapha
86.52,0.75,1.38,0.46,Pitta
86.9,0.58,0.81,1.27,Vata
85.42,0.68,1.29,0.47,Pitta
84.68,0.77,1.43,0.99,Vata
63.03,0.98,1.98,1.58,Kapha
55.0,1.05,1.84,0.64,Kapha
70.29,0.83,1.32,0.92,Vata
68.78,0.81,1.84,0.52,Kapha
69.84,0.81,2.37,0.37,Kapha
60.58,1.02,1.47,1.63,Vata
63.44,1.03,1.48,1.05,Kapha
80.33,0.79,1.02,1.22,Vata
82.97,0.7,1.77,0.75,Pitta
83.11,0.63,1.71,0.59,Pitta
63.46,1.01,1.87,0.6,Kapha
85.85,0.83,1.76,0.63,Pitta
78.6,0.73,1.99,0.54,Pitta
63.28,0.82,2.11,0.3,Kapha
91.77,0.73,2.18,0.71,Pitta
83.05,0.85,2.06,0.75,Pitta
58.02,0.93,1.77,1.49,Vata
81.43,0.73,1.45,1.62,Vata
80.75,0.6,1.17,1.24,Vata
61.77,1.02,2.32,0.55,Kapha
59.21,0.91,1.31,1.33,Vata
72.47,0.94,1.82,0.46,Pitta
61.95,0.92,1.49,1.37,Vata
76.77,0.75,1.61,1.05,Vata
95.43,0.58,1.45,0.63,Pitta
67.65,0.97,2.25,0.7,Kapha
75.77,0.7,1.01,1.79,Vata
64.66,0.88,1.7,1.74,Vata
85.23,0.76,1.79,0.91,Pitta
92.16,0.69,1.77,1.04,Vata
80.27,0.95,0.98,1.2,Vata
75.13,0.74,1.18,0.67,Vata
55.0,1.15,1.25,0.66,Vata
76.83,0.65,1.93,0.84,Kapha
78.16,0.9,1.34,0.63,Kapha
62.21,1.04,2.27,0.24,Kapha
106.57,0.59,1.85,1.0,Pitta
69.32,0.86,1.46,1.27,Vata
79.46,0.81,1.65,0.56,Pitta
71.16,0.79,1.41,0.94,Kapha
70.76,0.76,1.46,0.84,Kapha
58.31,1.02,1.23,1.38,Vata
64.18,1.06,1.67,0.74,Kapha
102.2,0.53,1.45,0.61,Pitta
92.82,0.63,1.45,1.43,Vata
64.61,0.88,1.84,0.98,Vata
84.98,0.66,1.73,0.37,Pitta
62.2,0.83,1.9,0.84,Kapha
70.33,0.76,1.98,0.63,Kapha
82.07,0.81,1.72,0.43,Pitta
88.35,0.74,1.71,0.31,Pitta
95.16,0.52,1.61,0.5,Pitta
91.48,0.76,1.18,0.97,Pitta
67.46,0.94,1.64,1.36,Vata
69.93,0.87,1.46,0.59,Kapha
80.87,0.6,1.9,0.84,Vata
92.0,0.66,2.29,0.59,Pitta
71.9,0.9,1.4,1.74,Vata
73.95,0.8,1.27,1.1,Vata
101.06,0.47,1.92,0.31,Pitta
62.44,0.89,1.19,0.76,Vata
64.93,0.86,2.17,0.54,Kapha
104.03,0.59,1.4,0.6,Pitta
79.69,0.61,1.78,0.98,Kapha
66.48,0.91,1.35,1.44,Vata
69.71,0.91,1.13,1.47,Vata
61.24,1.06,1.43,1.21,Vata
71.97,0.87,1.69,0.75,Kapha
87.57,0.56,1.91,0.81,Pitta
94.93,0.64,1.97,1.04,Pitta
69.16,0.76,1.52,0.72,Vata
65.61,0.9,1.95,0.65,Kapha
71.17,0.77,2.17,0.91,Kapha
65.83,0.91,2.25,0.43,Kapha
87.46,0.86,1.75,0.59,Pitta
81.22,0.63,2.0,0.53,Pitta
78.9,0.72,1.37,1.12,Pitta
83.95,0.72,1.52,1.04,Pitta
71.72,0.82,2.12,0.67,Kapha
76.85,0.93,1.94,0.71,Pitta
70.12,0.86,1.04,1.43,Vata
75.85,0.73,0.83,0.77,Vata
88.19,0.66,1.39,0.45,Pitta
91.27,0.64,1.84,0.52,Pitta
85.42,0.73,1.71,0.59,Pitta
85.8,0.71,1.48,0.58,Pitta
55.0,1.19,1.84,0.67,Kapha
55.0,1.21,2.27,0.7,Kapha
88.64,0.69,1.46,0.45,Pitta
80.99,0.7,1.74,0.75,Pitta
55.0,1.1,1.88,0.7,Kapha
69.72,0.76,2.04,0.32,Pitta
99.96,0.62,1.69,0.64,Pitta
88.33,0.65,1.57,0.89,Pitta
81.69,0.72,1.57,0.5,Pitta
72.85,0.86,1.62,0.99,Kapha
91.75,0.65,1.74,0.68,Pitta
102.1,0.57,1.52,0.67,Pitta
73.13,0.8,1.5,1.01,Vata
87.09,0.69,1.74,0.96,Pitta
55.0,1.04,1.74,0.62,Kapha
74.67,0.82,1.81,1.2,Vata
67.79,0.77,1.47,1.13,Vata
76.31,0.85,0.61,1.25,Vata
75.95,0.74,1.3,0.93,Vata
80.43,0.82,1.37,0.65,Pitta
65.08,0.99,1.87,0.86,Kapha
93.67,0.66,2.07,0.73,Pitta
90.29,0.71,1.35,0.73,Pitta
95.8,0.66,1.39,0.77,Pitta
58.87,1.04,1.8,0.47,Kapha
79.65,0.88,1.45,1.37,Vata
61.8,0.96,1.76,0.9,Kapha
66.87,0.9,1.34,0.57,Vata
77.8,0.79,2.09,0.48,Kapha
92.32,0.71,2.01,0.27,Pitta
71.58,0.88,1.38,1.21,Vata
69.73,0.82,1.48,1.49,Vata
79.61,0.75,2.22,0.55,Kapha
83.75,0.77,1.67,0.3,Pitta
80.96,0.73,2.47,0.39,Kapha
90.13,0.71,1.7,0.53,Pitta
78.13,0.89,2.07,0.66,Pitta
87.71,0.64,1.7,0.5,Pitta
72.4,0.76,1.05,1.3,Vata
66.34,0.93,0.91,1.4,Vata
89.24,0.67,1.83,0.58,Pitta
102.37,0.48,1.73,0.87,Pitta
86.95,0.73,1.57,0.24,Pitta
60.93,0.94,1.83,0.9,Kapha
70.96,0.95,1.3,1.1,Vata
58.09,1.03,2.09,0.46,Kapha
64.77,0.84,1.41,1.18,Vata
67.32,0.86,1.3,1.34,Vata
70.34,0.8,1.95,0.57,Kapha
76.12,0.93,1.69,1.4,Vata
79.23,0.65,1.22,1.55,Vata
63.28,1.12,0.95,1.18,Vata
65.01,0.89,1.05,1.14,Vata
84.71,0.74,2.28,0.85,Pitta
88.35,0.64,1.49,1.14,Vata
77.06,0.77,1.49,1.09,Vata
75.7,0.82,1.29,0.85,Pitta
95.47,0.58,1.58,0.93,Pitta
69.21,0.84,1.29,1.03,Vata
94.9,0.59,1.75,1.06,Pitta
63.46,0.88,1.31,1.23,Vata
68.29,0.97,0.91,1.07,Vata
62.23,0.71,1.98,0.57,Kapha
65.11,0.91,1.67,0.98,Vata
92.76,0.59,1.95,0.79,Pitta
65.54,0.92,2.0,0.67,Kapha
79.46,0.68,1.09,1.65,Vata
60.61,0.89,1.92,0.75,Kapha
63.19,0.89,0.91,1.16,Vata
59.5,0.91,0.45,1.14,Vata
70.35,0.74,1.0,0.7,Vata
60.53,1.05,2.18,0.64,Kapha
77.41,0.68,1.83,0.59,Pitta
59.93,1.04,1.28,1.37,Vata
72.81,0.85,2.05,0.79,Kapha
70.26,0.76,1.87,0.69,Kapha
61.6,1.04,1.58,1.36,Vata
71.13,0.81,1.62,1.57,Vata
80.83,0.81,1.99,0.55,Kapha
79.78,0.71,1.52,1.09,Vata
71.23,0.67,0.69,1.15,Vata
62.21,0.98,1.99,0.65,Kapha
90.74,0.67,1.75,1.09,Pitta
62.39,1.08,1.12,0.92,Vata
59.2,1.09,1.63,0.34,Kapha
55.83,0.98,1.58,0.43,Kapha
70.03,0.84,1.29,0.9,Vata
73.77,0.83,0.87,1.44,Vata
55.0,1.19,1.3,1.13,Kapha
62.32,1.03,1.36,1.4,Vata
85.24,0.71,1.6,0.55,Pitta
70.92,0.86,1.36,0.82,Vata
84.88,0.69,1.62,0.35,Pitta
89.67,0.71,1.07,0.56,Pitta
69.37,0.84,2.04,0.77,Kapha
72.54,0.87,2.2,0.92,Kapha
60.19,0.77,1.6,1.12,Vata
95.69,0.6,1.97,0.42,Pitta
83.32,0.79,1.55,0.57,Pitta
95.74,0.62,1.21,0.82,Pitta
84.91,0.6,1.05,0.81,Pitta
70.41,0.85,2.17,0.6,Kapha
80.99,0.72,1.66,0.78,Kapha
89.73,0.75,1.56,0.53,Pitta
77.98,0.74,1.31,1.05,Vata
93.05,0.69,1.35,0.89,Pitta
87.84,0.71,1.27,0.68,Pitta
68.93,0.93,1.94,0.53,Kapha
58.69,0.97,1.57,1.08,Kapha
70.85,0.8,0.99,1.42,Vata
66.54,0.94,1.91,0.67,Kapha
56.54,1.04,2.02,1.24,Kapha
69.9,0.84,2.13,0.34,Kapha
67.27,0.82,2.49,0.86,Kapha
91.57,0.64,1.17,0.62,Pitta
100.38,0.49,2.25,0.56,Pitta
61.8,1.04,0.64,1.62,Vata
80.09,0.82,1.85,0.52,Kapha
77.27,0.81,1.63,0.46,Pitta
78.37,0.88,2.02,0.47,Pitta
94.36,0.57,1.59,0.63,Pitta
88.91,0.58,1.4,0.7,Pitta
75.39,0.81,1.59,0.96,Vata
77.98,0.67,1.1,1.57,Vata
79.33,0.72,1.81,0.39,Pitta
86.12,0.61,1.35,1.37,Vata
66.33,0.91,1.52,1.68,Vata
81.7,0.73,1.58,1.04,Pitta
82.68,0.75,1.62,0.75,Pitta
93.32,0.57,1.86,0.32,Pitta
63.82,0.96,0.86,1.41,Vata
84.89,0.8,1.4,1.15,Vata
72.3,0.83,1.15,1.09,Vata
85.79,0.66,1.21,0.39,Pitta
73.72,0.76,1.85,0.77,Kapha
87.72,0.77,1.76,0.78,Pitta
82.42,0.67,1.18,1.34,Vata
81.01,0.8,1.45,0.85,Pitta
65.77,0.98,2.5,0.54,Kapha
80.72,0.72,1.77,0.43,Pitta
91.89,0.59,1.76,0.99,Pitta
92.53,0.49,1.23,0.59,Pitta
77.9,0.79,1.84,0.87,Pitta
60.9,0.97,1.04,1.77,Vata
78.41,0.71,1.96,0.35,Pitta
66.52,0.99,1.58,0.41,Kapha
87.69,0.73,2.04,0.92,Pitta
58.82,1.05,2.05,0.51,Kapha
74.69,0.8,1.39,0.89,Pitta
79.74,0.77,1.15,1.28,Vata
72.69,0.88,1.14,0.72,Vata
79.98,0.77,2.24,0.4,Pitta
59.42,1.05,1.92,0.72,Kapha
65.01,0.9,2.22,0.44,Kapha
97.95,0.62,1.4,0.5,Pitta
88.07,0.7,1.54,0.02,Pitta
75.47,0.78,1.56,1.56,Vata
64.39,1.0,1.04,0.85,Vata
82.39,0.74,1.68,0.16,Pitta
58.79,1.11,2.11,0.94,Kapha
88.37,0.71,1.1,0.79,Pitta
77.99,0.68,1.2,1.34,Vata
72.25,0.83,0.43,1.35,Vata
86.85,0.74,1.36,0.62,Pitta
86.21,0.59,1.85,0.71,Pitta
86.09,0.61,1.63,0.4,Pitta
92.1,0.72,1.06,0.52,Pitta
69.05,0.8,1.3,1.53,Vata
55.0,1.0,1.98,0.47,Kapha
63.57,1.03,1.29,1.71,Vata
86.45,0.76,2.18,0.47,Pitta
64.87,0.91,2.56,0.82,Kapha
69.01,0.96,1.64,0.77,Kapha
55.0,1.19,1.99,0.17,Kapha
94.16,0.59,1.46,0.06,Pitta
84.96,0.77,1.29,1.0,Pitta
89.71,0.68,1.31,1.1,Pitta
73.68,0.74,1.59,1.33,Vata
82.99,0.69,1.53,1.35,Vata
89.17,0.67,1.27,0.56,Pitta
85.0,0.71,1.75,0.6,Pitta
86.76,0.72,1.43,0.78,Vata
68.61,0.87,0.89,1.47,Vata
82.58,0.68,1.63,1.04,Vata
73.3,0.8,0.92,1.59,Vata
86.62,0.69,2.0,0.54,Pitta
75.92,0.81,2.18,0.47,Kapha
78.32,0.74,2.24,0.6,Pitta
55.0,1.26,1.54,0.64,Kapha
79.57,0.71,1.13,1.27,Vata
84.75,0.72,1.55,0.56,Pitta
73.75,0.81,1.7,1.07,Vata
88.36,0.64,1.98,1.02,Pitta
86.39,0.61,1.13,0.44,Pitta
60.67,1.08,1.63,0.73,Kapha
55.0,1.02,1.92,0.34,Kapha
56.49,1.03,1.85,0.62,Kapha
65.68,0.9,1.7,1.27,Vata
97.55,0.68,1.87,0.31,Pitta
55.0,1.13,2.01,1.04,Kapha
55.0,1.14,1.64,1.26,Kapha
62.86,1.02,2.23,0.76,Kapha
65.61,0.96,1.42,0.47,Kapha
87.55,0.73,1.86,0.7,Pitta
55.0,1.07,2.16,1.01,Kapha
63.27,0.88,1.98,0.83,Kapha
64.83,0.89,1.56,1.11,Vata
84.92,0.64,1.86,0.64,Pitta
88.3,0.75,1.12,0.32,Pitta
68.42,0.92,1.25,1.46,Vata
73.22,0.84,1.13,0.8,Vata
62.18,0.98,1.58,0.49,Kapha
69.49,0.86,1.44,1.02,Vata
69.19,0.88,1.33,1.34,Vata
67.59,0.89,1.64,0.51,Kapha
68.34,0.97,1.35,0.69,Vata
84.58,0.82,2.14,0.59,Pitta
67.16,0.88,1.81,0.85,Kapha
57.37,0.94,1.58,0.42,Kapha
98.21,0.7,2.09,0.42,Pitta
95.42,0.74,1.41,0.51,Pitta
99.19,0.53,2.22,0.88,Pitta
68.16,0.9,1.38,0.93,Kapha
60.39,0.97,1.05,1.01,Vata
95.39,0.67,1.46,0.29,Pitta
87.22,0.75,1.12,1.18,Vata
97.0,0.59,1.91,0.72,Pitta
81.35,0.74,1.39,1.28,Vata
85.71,0.88,1.38,0.55,Pitta
69.58,0.85,1.17,0.59,Vata
73.82,0.8,2.23,0.35,Kapha
82.42,0.73,1.46,0.08,Pitta
96.76,0.59,1.53,0.85,Vata
94.04,0.71,1.47,1.46,Vata
55.0,1.22,2.13,0.55,Kapha
106.87,0.58,1.72,0.85,Pitta
67.21,0.9,1.44,1.23,Vata
63.81,0.93,1.33,1.22,Vata
82.8,0.68,1.46,1.26,Vata
80.83,0.66,0.9,1.18,Pitta
69.5,0.92,1.42,0.92,Vata
58.7,0.92,1.85,0.38,Kapha
101.75,0.55,1.32,0.66,Pitta
66.96,0.84,2.32,1.02,Kapha
88.08,0.69,0.9,0.24,Pitta
57.74,1.04,1.26,1.21,Vata
67.96,0.84,1.31,1.3,Vata
89.93,0.81,2.06,0.75,Pitta
69.85,0.88,1.74,0.82,Kapha
82.6,0.8,1.36,1.02,Vata
66.37,0.91,1.95,0.42,Kapha
55.0,1.13,2.09,0.43,Kapha
76.18,0.74,1.8,0.56,Pitta
74.9,0.83,1.18,1.58,Vata
69.72,0.75,1.59,1.11,Vata
96.59,0.57,1.37,0.36,Pitta
75.47,1.0,1.53,1.35,Vata
75.0,0.8,1.5,0.9,Kapha
61.52,0.93,1.5,1.13,Kapha
63.56,1.03,1.56,1.11,Kapha
70.8,0.91,1.46,1.43,Vata
79.74,0.64,1.54,1.07,Pitta
79.16,0.71,2.39,0.68,Kapha
64.09,0.82,1.08,1.25,Vata
81.31,0.72,1.89,0.35,Pitta
71.7,0.84,2.05,1.15,Kapha
71.0,0.83,1.71,1.28,Vata
65.56,0.87,0.8,1.44,Vata
69.96,0.97,1.46,1.06,Kapha
69.33,0.88,1.2,1.14,Vata
81.82,0.68,1.62,0.77,Pitta
70.91,0.75,1.41,0.46,Kapha
62.94,0.96,1.27,1.13,Vata
82.34,0.81,1.58,0.69,Pitta
81.08,0.79,1.6,0.76,Pitta
82.52,0.63,1.98,0.82,Pitta
90.37,0.5,1.17,0.81,Vata
72.51,0.81,1.47,0.86,Vata
60.83,0.83,1.43,0.78,Kapha
63.76,0.95,1.64,0.7,Kapha
61.94,0.99,1.42,0.15,Kapha
93.2,0.73,1.34,0.15,Pitta
90.21,0.68,1.34,0.84,Pitta
97.34,0.59,1.63,0.79,Pitta
73.96,0.84,1.78,1.28,Vata
74.87,0.88,1.23,1.5,Vata
66.82,0.9,1.61,0.5,Vata
84.22,0.68,1.89,0.63,Kapha
66.93,0.95,1.49,0.85,Kapha
69.23,0.86,1.93,0.81,Kapha
74.21,0.83,2.08,0.72,Kapha
72.74,0.88,1.34,0.99,Vata
86.93,0.85,1.19,0.97,Vata
81.99,0.71,1.65,0.52,Pitta
80.76,0.76,2.08,0.77,Pitta
70.71,0.88,1.75,1.26,Kapha
74.06,0.76,1.04,1.34,Vata
71.76,0.75,1.71,1.34,Vata
76.37,0.74,0.96,1.08,Vata
67.46,0.89,0.9,0.96,Vata
87.65,0.64,1.72,0.41,Pitta
61.98,0.85,1.54,0.81,Kapha
75.27,0.85,1.42,1.13,Vata
63.81,0.96,1.21,1.65,Vata
96.32,0.55,1.84,0.57,Pitta
84.82,0.81,1.68,0.57,Pitta
65.61,0.85,1.74,1.27,Vata
64.55,0.84,1.55,0.96,Vata
55.0,1.14,1.62,0.84,Kapha
55.0,1.18,1.95,1.02,Kapha
78.45,0.77,2.17,0.65,Kapha
62.13,1.11,1.82,0.31,Kapha
62.65,0.93,1.65,1.2,Kapha
88.16,0.79,1.56,0.71,Pitta
59.28,0.95,2.06,0.53,Kapha
67.54,0.9,1.58,1.27,Vata
59.06,0.97,1.97,0.59,Kapha
63.6,0.9,1.63,1.38,Vata
63.55,1.03,2.33,0.69,Kapha
75.07,0.96,1.38,0.99,Vata
73.3,0.89,1.89,0.89,Vata
76.09,0.67,1.79,0.58,Pitta
75.84,0.78,1.86,1.07,Vata
66.26,0.94,1.77,0.56,Kapha
55.0,1.08,1.95,0.67,Kapha
80.63,0.7,1.46,0.71,Pitta
61.58,1.01,1.45,0.13,Kapha
88.67,0.72,1.79,0.72,Pitta
55.0,1.26,1.44,1.48,Vata
66.09,0.9,1.86,0.32,Kapha
69.74,0.88,1.68,0.8,Kapha
77.92,0.66,1.16,1.3,Vata
77.15,0.72,1.15,0.75,Vata
57.61,0.98,2.09,0.6,Kapha
82.23,0.66,1.74,0.8,Pitta
55.0,1.06,2.11,0.39,Kapha
91.07,0.74,1.82,0.35,Pitta
55.0,1.03,1.23,1.04,Vata
79.62,0.72,1.27,0.9,Vata
64.13,1.01,1.82,1.13,Kapha
85.51,0.66,2.05,0.53,Pitta
87.93,0.6,1.06,0.62,Pitta
67.57,0.88,1.84,0.57,Kapha
60.64,0.93,1.78,0.73,Kapha
75.01,0.79,1.63,0.68,Kapha
55.0,1.06,1.46,0.79,Kapha
74.21,0.85,1.34,1.13,Vata
75.18,0.76,1.65,0.83,Kapha
67.71,0.87,1.54,0.62,Kapha
85.34,0.66,1.66,1.01,Pitta
69.95,0.73,2.26,0.41,Kapha
69.37,0.83,2.31,1.01,Kapha
91.37,0.81,1.59,0.4,Pitta
70.34,0.83,1.93,0.86,Kapha
68.93,0.76,0.95,1.11,Vata
60.46,1.0,1.49,0.74,Kapha
85.59,0.62,1.29,1.17,Vata
65.21,0.86,1.66,0.42,Kapha
76.73,0.8,2.66,0.4,Kapha
70.62,0.81,1.68,0.45,Kapha
74.62,0.77,1.47,0.93,Vata
77.55,0.76,1.15,0.94,Vata
59.64,1.14,2.08,0.43,Kapha
76.07,0.84,1.02,1.49,Vata
94.01,0.56,1.57,1.01,Pitta
88.03,0.59,2.12,0.37,Pitta
55.0,1.3,2.37,0.53,Kapha
97.89,0.57,1.56,0.83,Pitta
64.52,0.98,2.23,0.66,Kapha
56.79,0.99,1.62,0.34,Kapha
